Researcher Name
 Bokányi
Aaron Clauset
Aaron J. Schwartz
Aaron Schein
Aaron Smith
Abbas Haidar
Abby Smith
Abdulkadir Celikkanat
Abdullah Almaatouq
Abdullah Zameek
Abeer Elbahrawy
Abigail Z Jacobs
Adam Dunn
Adam Finnemann
Adam Frank
Adam H. Russell
Adam Stefkovics
Adam Sutton
Aditi Dutta
Adriano Belisario
Adrienne Mendrik
Afra Mashhadi
Agnieszka Czaplicka
Agnieszka Falenska
Aguru Ishibashi
Ahmad Hesam
Ahmed Nasser Mostafa
Aidan Combs
Aidar Zinnatullin
Akeela Careem
Akhil Arora
Akira Hashimoto
Akira Matsui
Akira Tsurushima
Akrati Saxena
Alain Barrat
Alan Paul Kwan
Alba Motes Rodrigo
Albert-Laszlo Barabasi
Alberto Amaduzzi
Alberto Antonioni
Aleix Bassolas
Alejandro Beltran
Alejandro Dinkelberg
Alejandro Hermida Carrillo
Aleksandra Aloric
Aleksandra Urman
Alessandra Urbinati
Alessandro De Gaetano
Alessandro Di Nallo
Alessandro Flamini
Alessandro Flammini
Alessandro Gambetti
Alessandro Lomi
Alessia Antelmi
Alessia Melegaro
Alessio Vincenzo Cardillo
Alex Mielke
Alex Pentland
Alex Rutherford
Alex Teytelboym
Alexander Gates
Alexander Sobieska
Alexander Volfovsky
Alexandra Florea
Alexandra Rottenkolber
Alexandra Segerberg
Alexandre Evsukoff
Alexandros Gelastopoulos
Alfredo Hernandez Sanchez
Ali Faqeeh
Ali Salloum
Ali Yassin
Aliakbar Akbaritabar
Aliaksandr Herasimenka
Alice Battiston
Alice Grishchenko
Alice Xiang
Alina Arseniev-Koehler
Alina Herderich
Alina Sîrbu
Allison Christine Morgan
Allison Koenecke
Almog Simchon
Amin Mekacher
Amir Ebrahimi Fard
Amir Ghasemian
Amir Goldberg
Amirhossein Nakhaei
Amy Dunphy
Amy Gimma
Amy Munz
Amy Selby
Amy Smith
Ana Alonso Curbelo
Ana Julia Bonzanini Bernardi
Ana Macanovic
Ana Maria Jaramillo
Ana Valdivia
Ana-Andreea Stoica
Anastasia Karpova
Anastasia Menshikova
Anastassia Vybornova
Andrea Baronchelli
Andrea Failla
Andrea Gentili
Andrea Leigh Courtney
Andrea Mina
Andrea Passerini
Andrea Tagarelli
Andrea W Wang
Andreas Bjerre-Nielsen
Andreas Kaltenbrunner
Andreas Koher
Andreas Spitz
Andreia Sofia Teixeira
Andres F. Castro Torres
Andrew Beers
Andrew Herman
Andrew Lippman
Andrew Renninger
Andrés Gvirtz
Andy Berres
Andy Skumanich
Ane Rahbek Vierø
Angel Cuevas
Angel Sánchez
Angelita Repetto
Angelo Brayner
Angelos Kassianos
Anikó Hannák
Anjali Bhatt
Anna Bertani
Anna Di Natale
Anna George
Anna Mancini
Anna Rogers
Anna Sapienza
Anna Sara Ligeti
Anna Seo Gyeong Choi
Anna Sokolova
Anna Wegmann
Annapaola Marconi
Anne C Kroon
Anne Cathrine Linder
Anne-Marie Nussberger
Antonin Pottier
Antonio Ariño Villarroya
Antonio Bucchiarone
Antonio Desiderio
Antonio Lima
Antonio Longa
Antonio Rojas-Garcia
Antti Gronow
Anubhab Das
Anya Hommadova Lu
Ardon Z. Shorr
Arianna Pera
Arkaitz Zubiaga
Armando Bazzani
Armin Pournaki
Arnault Chatelain
Arnout Van De Rijt
Artem Kuriksha
Artem Volgin
Arti Thakur
Arttu Malkamäki
Arun Frey
Ashesh Rambachan
Ashiqur R Khudabukhsh
Ashley Francisco
Ashley Muddiman
Ashlyn B. Aske
Ashton Anderson
Astrid Gühnemann
Athina Anastasiadou
Attila Elem√©R Guly√°S
Attila Varga
Atushi Ishikawa
August Lohse
Avi Gamoran
Ayan-Yue Gupta
Aymeric Luneau
Babak Heydari
Bahador Bahrami
Bahareh Sarrafzadeh
Bailey Fosdick
Baird Howland
Balaraju Battu
Balazs Vedres
Balázs Lengyel
Bao Tran Truong
Barbara Keller
Beatrice Bonami
Beatrice Rammstedt
Becky P.Y. Loo
Bedoor Alshebli
Beibei Li
Belén C Saldías Fuentes
Benedikt Ströbl
Benjamin C Holding
Benjamin Frank Maier
Benjamin J Radford
Bennard Doornbos
Bernard Koch
Bernardo Garcia Bulle Bueno
Bertram Malle
Bethany Hsiao
Beverly Laher
Bhargav Srinivasa Desikan
Bin Wang
Blas Kolic
Bogdan State
Bojan Kostic
Boleslaw K. Szymanski
Bradley Spahn
Bramantyo Supriyatno
Brenda Curtis
Brendan O'Connor
Brennan Klein
Brian Keegan
Brian Uzzi
Briony Swire-Thompson
Brooke Foucault Welles
Bruno Lepri
Bruno Zamengo
Byungkyu Lee
Calvin Yixiang Cheng
Camelia Oprea
Cameron Lai
Camila Tsuzuki
Camille Landesvatter
Camille Roth
Camille Testard
Carina Ines Hausladen
Carl Nordlund
Carlo Valensise
Carlos Callejo Penalba
Carlos Castillo
Carlos Fernandez-Basso
Carlos Nunes Silva
Carlos Rodriguez
Carlos Rodriguez-Sickert
Carlson Moses Büth
Carmen Leicht-Scholten
Carmine Spagnuolo
Carolina Coimbra Vieira
Carolina Mattsson
Caroline C. Murray
Carsten Schwemmer
Casey Randazzo
Cassandra Overney
Cassidy R. Sugimoto
Catalina Vajiac
Caterina Suitner
Cathy Fang
Cecilia Monge
Ceren Budak
Cesar A Hidalgo
Cesar Augusto Marin
Chacha Chen
Chanuwas Aswamenakul
Chao Yu
Chao-Chun Hsu
Chaofeng Wu
Charalampos Saitis
Charles Rahal
Cheick Tidiane Ba
Cheng Pan
Chia-Jung Tsai
Chiara Chiavenna
Chiara Serra
Chico Q Camargo
Chloe Ahn
Chloe Eggleston
Chris Baber
Chris Callison-Burch
Christa Brelsford
Christian Almenar
Christian Czymara
Christian L Vestergaard
Christian Staal Bruun Overgaard
Christian Strippel
Christiern Santos Rasmussen
Christine Vega Pourheydarian
Christoffer Green-Pedersen
Christoffer Koch Florczak
Christoph Bartenhagen
Christoph Benedikt Gote
Christoph Kern
Christoph Stadtfeld
Christopher Bail
Christopher Danforth
Christopher I Jarvis
Chung-Kon Shi
Ciro Cattuto
Claire Glanois
Clara Bersch
Clara Boothby
Clara Vandeweerdt
Claudia Acciai
Claudia Wagner
Clemens M. Lechner
Clemens Stachl
Clodomir Santana
Cody Buntain
Coen D Needell
Connor Cantrell
Corine Meppelink
Cornelius Puschmann
Corrado Monti
Cristian E Candia
Cuihua Shen
Cynthia Rudin
D. Sunshine Hillygus
Dafna Yavetz
Damian Serwata
Damian Trilling
Damiano Morando
Damin Lee
Dan Calacci
Dan Dai
Dan Franks
Dan Jurafsky
Dan Thomsen
Daniel A. Mcfarland
Daniel Acuna
Daniel Corsi
Daniel Larremore
Daniel Matter
Daniel Nagin
Daniel Romero
Daniel Scott Smith
Daniel Torren Peraire
Daniel Valdenegro
Daniela Paolotti
Daniela Perrotta
Daniela Valdes
Daniele De Vinco
Daniele Gambetta
Daniele Quercia
Daniele Rama
Darko Stojilovic
Darren Croft
Darya Zare
Dashun Wang
David Axelrod
David Dreyer Lassen
David G. Rand
David Garcia
David Holtz
David Joachim Grüning
David Joyner
David Jurgens
David Lagnado
David Lusseau
David M Rothschild
David Mimno
David Mingfei Liu
David Page
David Sanchez
David Schoch
Davide Proserpio
Davide Vega
Deb Roy
Debora Nozza
Delphine De Moor
Denis Bonnay
Denis E Hudon
Dennis Assenmacher
Denny Borsboom
Derek Greene
Diana Roig Sanz
Diana Verdes
Dilrukshi Gamage
Dimitra Dimitrakopoulou
Dimitris Kotzinos
Dingeman Jan Van Der Laan
Diogo Pachecho
Diogo Pacheco
Disha Saini
Djordje Grbic
Donghyun Kang
Dongning Deng
Dongwoo Lim
Dorian Quelle
Doug Beeferman
Douglas Leasure
Douglas Richard Guilbeault
Drew Dimmery
Duilio Balsamo
Duncan J Watts
Dustin S Stoltz
Dustin Wright
Dylan Connor
Dylan Paltra
Dylan Thurgood
Eaman Jahani
Ebru Sanliturk
Eckehard Olbrich
Eddie Rossi
Edit Paulo
Edmond Awad
Edward Abel
Edward Lee
Edwin De Jonge
Eiji Aramaki
Eladio Montero-Porras
Elena Pavan
Elias Fernández Domingos
Elias Najarro
Elisa Omodei
Elisabet Carbã³ Catalan
Elisabeth Stockinger
Eliza Stenzhorn
Elizaveta Chernenko
Elizaveta Sivak
Ella Clement
Elliot Pickens
Elliott Ash
Elohim Fonseca Dos Reis
Em Bello-Pardo
Emanuele Cozzo
Emil Bakkensen Johansen
Emilio Ferrara
Emilio Zagheni
Emily L Wang
Emma Hoes
Emma Spiro
Emmanouil Tranos
Emmeke Aarts
Emoke-Agnes Horvat
Eni Mustafaraj
Enrico Cantoni
Enshu Cheng
Eraldo Ribeiro
Erez Shmueli
Erez Yoeli
Eric Dignum
Eric Giannella
Erick Elejalde
Erin Walk
Erjian Liu
Erkan Gunes
Erkki Tapio Isometsä
Esteban Moro
Ethan Porter
Etienne Ollion
Eugenio Valdano
Evelien Snippe
Eyal Perry
Ezequiel Lopez Lopez
Ezzat Elokda
Fabian Baumann
Fabian Braesemann
Fabio Carella
Fabio Carrella
Fabio Giglietto
Fabián Aguirre-López
Fabrizio Gilardi
Fabrizio Lillo
Facundo Carrillo
Fan Liang
Fan Yin
Fariba Karimi
Fatima Alqabandi
Fausto Giunchiglia
Federico Barrera Lemarchand
Federico Barrera-Lemarchand
Federico Botta
Federico Delussu
Federico Mazzoni
Federico Musciotto
Federico Pilati
Federico Zimmerman
Feiyang Zhang
Felix Gaisbauer
Felix Lennert
Felix Schmidt
Felix Victor Münch
Feng Fu
Fengli Xu
Fengyi Zheng
Fengyuan Michael Liu
Ferdinand Le Coz
Filipi Nascimento Silva
Filippo Menczer
Filippo Privitera
Fiona Lee
Fionneke M Bos
Florian Barbaro
Florian Keusch
Floriana Gargiulo
Fons Rademakers
Fosca Giannotti
Francesca Chiaromonte
Francesco Barbieri
Francesco Bonchi
Francesco Lamperti
